SKU,Sales_Product_ID,Month_Year,Total_Quantity,Net_Sales
,4198696000032407969,2025-10,1,19026.55
,4198696000032144006,2025-10,2,14336.28
,4198696000032452152,2025-10,2,23893.82
,4198696000033419056,2025-10,2,61592.92
,4198696000033568057,2025-11,1,42035.4
,4198696000033478041,2025-11,4,1592.92
,4198696000034282340,2025-11,3,1194.69
,4198696000011322191,2024-10,1,16814.16
,4198696000005887366,2024-05,1,22389.38
,4198696000007910327,2024-07,1,7079.65
,4198696000019780165,2025-03,1,19823.01
,4198696000022133856,2025-04,1,3185.84
,4198696000026426412,2025-07,1,7083.19
,4198696000030361006,2025-09,1,24371.68
,4198696000001882101,2023-12,2,1946.9
,4198696000004224319,2024-03,2,35752.21
,4198696000004349147,2024-04,1,11504.42
,4198696000004545690,2024-04,1,7522.12
,4198696000005292625,2024-05,2,35929.2
,4198696000004227285,2024-03,1,12212.39
,4198696000001800066,2023-12,1,16393.81
,4198696000005305328,2024-05,1,46194.69
,4198696000002064045,2023-12,1,3194.69
,4198696000004911060,2024-04,2,32389.38
,4198696000005013369,2024-04,2,14336.28
,4198696000004672713,2024-04,8,2831.86
,4198696000010693472,2024-10,1,8141.59
,4198696000010979144,2024-10,1,1384.07
,4198696000012941024,2024-11,1,33805.31
,4198696000011625075,2024-11,1,24247.79
,4198696000013373547,2024-12,1,2920.35
,4198696000010085290,2024-09,5000,4424.78
,4198696000011407339,2024-10,1,2743.36
,4198696000011932602,2024-11,2,21769.91
,4198696000013931639,2024-12,1,9200
,4198696000013348709,2024-12,1,12212.39
,4198696000010328947,2024-09,1,3982.3
,4198696000010820411,2024-10,1,18672.57
,4198696000011402362,2024-10,12,19115.04
,4198696000011402115,2024-10,1,7964.6
,4198696000013213004,2024-12,2,22796.46
,4198696000010197487,2024-09,1,9646.02
,4198696000010640590,2024-10,2,4707.96
,4198696000012083056,2024-11,2,25401.77
,4198696000013452288,2024-12,2,59469.03
,4198696000013960785,2024-12,1,31061.95
,4198696000015213014,2025-01,1,16725.66
,4198696000016444001,2025-01,1,22123.89
,4198696000018194737,2025-02,4,8849.56
,4198696000014818032,2024-12,2,796.46
,4198696000017559210,2025-02,3,3185.84
,4198696000014270370,2024-12,1,8141.59
,4198696000018307758,2025-02,1,21238.94
,4198696000016818113,2025-01,15,4646.02
,4198696000018234008,2025-02,2,1953.98
,4198696000014163102,2024-12,2000,1769.91
,4198696000017698762,2025-02,1,3982.3
,4198696000018492022,2025-02,1,8304.42
,4198696000018505020,2025-02,1,8840.71
,4198696000006802569,2024-06,1,11592.92
,4198696000007923668,2024-07,1,11061.95
,4198696000009402078,2024-09,1,10619.47
,4198696000006872008,2024-07,1,3938.05
,4198696000005607238,2024-05,1,3982.3
