Payment Refund ID,Payment ID,Refund Date,Refund Mode,Refund From Account,Amount (BCY),Reference Number,Exchange Rate,Created Time,Last Modified Time
4198696000010547505,4198696000010522291,07 Oct 2024,Efectivo/Cash,4198696000000418009,CRC 200.00,,CRC 1.00,2024-10-07 16:44:07,2024-10-07 16:44:07
4198696000010547627,4198696000010547565,07 Oct 2024,SINPE,4198696000000375167,"CRC 3,000.00",,CRC 1.00,2024-10-07 16:55:29,2024-10-07 16:55:29
4198696000010598187,4198696000010598125,09 Oct 2024,SINPE,4198696000000375167,"CRC 1,000.00",,CRC 1.00,2024-10-09 09:42:55,2024-10-09 09:42:55
4198696000010619737,4198696000010619693,09 Oct 2024,Efectivo/Cash,4198696000000418009,CRC 50.00,,CRC 1.00,2024-10-09 17:08:36,2024-10-09 17:08:36
4198696000010693146,4198696000010638370,11 Oct 2024,Efectivo/Cash,4198696000000418009,CRC 500.00,,CRC 1.00,2024-10-11 10:26:40,2024-10-11 10:26:40
4198696000010693200,4198696000010638388,11 Oct 2024,Efectivo/Cash,4198696000000418009,CRC 400.00,,CRC 1.00,2024-10-11 10:39:37,2024-10-11 10:39:37
4198696000011637527,4198696000010663174,01 Nov 2024,Efectivo/Cash,4198696000000418009,CRC 277.50,,CRC 1.00,2024-11-01 15:35:44,2024-11-01 15:35:44
4198696000010850389,4198696000010752037,16 Oct 2024,SINPE,4198696000000375167,"CRC 1,800.00",,CRC 1.00,2024-10-16 10:16:47,2024-10-16 10:16:47
4198696000010954747,4198696000010850223,18 Oct 2024,SINPE,4198696000000375167,"CRC 1,000.00",,CRC 1.00,2024-10-18 12:08:56,2024-10-18 12:08:56
4198696000010954641,4198696000010850327,18 Oct 2024,SINPE,4198696000000375167,"CRC 3,000.00",,CRC 1.00,2024-10-18 12:06:26,2024-10-18 12:06:26
4198696000010954701,4198696000010850869,18 Oct 2024,SINPE,4198696000000375167,"CRC 1,000.00",,CRC 1.00,2024-10-18 12:08:03,2024-10-18 12:08:03
4198696000010866193,4198696000010866131,16 Oct 2024,Efectivo/Cash,4198696000000418009,"CRC 1,000.00",,CRC 1.00,2024-10-16 15:16:01,2024-10-16 15:16:01
4198696000010954681,4198696000010916751,18 Oct 2024,SINPE,4198696000000375167,"CRC 1,500.00",,CRC 1.00,2024-10-18 12:07:35,2024-10-18 12:07:35
4198696000010954661,4198696000010945009,18 Oct 2024,SINPE,4198696000000375167,"CRC 3,299.99",,CRC 1.00,2024-10-18 12:07:09,2024-10-18 12:07:09
4198696000011156549,4198696000011088174,22 Oct 2024,SINPE,4198696000000375167,CRC 500.00,,CRC 1.00,2024-10-22 14:18:51,2024-10-22 14:18:51
4198696000011156569,4198696000011088338,22 Oct 2024,SINPE,4198696000000375167,"CRC 3,000.00",,CRC 1.00,2024-10-22 14:19:39,2024-10-22 14:19:39
4198696000011637547,4198696000011119263,01 Nov 2024,Efectivo/Cash,4198696000000418009,CRC 100.00,,CRC 1.00,2024-11-01 15:36:07,2024-11-01 15:36:07
4198696000011156809,4198696000011119323,22 Oct 2024,SINPE,4198696000000375167,"CRC 3,000.00",,CRC 1.00,2024-10-22 15:36:44,2024-10-22 15:36:44
4198696000011276051,4198696000011156413,24 Oct 2024,SINPE,4198696000000375167,"CRC 4,000.00",,CRC 1.00,2024-10-24 15:50:23,2024-10-24 15:50:23
4198696000011156789,4198696000011156487,22 Oct 2024,SINPE,4198696000000375167,"CRC 2,500.00",,CRC 1.00,2024-10-22 15:22:58,2024-10-22 15:22:58
4198696000011637627,4198696000011156861,01 Nov 2024,Efectivo/Cash,4198696000000418009,"CRC 1,500.00",,CRC 1.00,2024-11-01 15:37:45,2024-11-01 15:37:45
4198696000011276071,4198696000011208491,24 Oct 2024,SINPE,4198696000000375167,"CRC 2,900.00",,CRC 1.00,2024-10-24 15:51:28,2024-10-24 15:51:28
4198696000011276091,4198696000011208873,24 Oct 2024,SINPE,4198696000000375167,"CRC 3,000.00",,CRC 1.00,2024-10-24 15:52:08,2024-10-24 15:52:08
4198696000011407099,4198696000011263441,25 Oct 2024,SINPE,4198696000000375167,"CRC 1,700.00",,CRC 1.00,2024-10-28 09:39:46,2024-10-28 09:39:46
4198696000011407079,4198696000011334323,25 Oct 2024,SINPE,4198696000000375167,"CRC 2,700.00",,CRC 1.00,2024-10-28 09:38:15,2024-10-28 09:38:15
4198696000011541251,4198696000011367324,30 Oct 2024,SINPE,4198696000000375167,"CRC 3,000.00",,CRC 1.00,2024-10-30 14:34:48,2024-10-30 14:34:48
4198696000011419349,4198696000011419309,28 Oct 2024,Efectivo/Cash,4198696000000418009,"CRC 7,237.00",,CRC 1.00,2024-10-28 17:19:20,2024-10-28 17:19:20
4198696000011637567,4198696000011490831,01 Nov 2024,Efectivo/Cash,4198696000000418009,CRC 45.00,,CRC 1.00,2024-11-01 15:36:28,2024-11-01 15:36:28
4198696000011637587,4198696000011626382,01 Nov 2024,Efectivo/Cash,4198696000000418009,CRC 50.00,,CRC 1.00,2024-11-01 15:36:54,2024-11-01 15:36:54
4198696000011637607,4198696000011637299,01 Nov 2024,Efectivo/Cash,4198696000000418009,CRC 25.00,,CRC 1.00,2024-11-01 15:37:20,2024-11-01 15:37:20
4198696000011747534,4198696000011637393,04 Nov 2024,SINPE,4198696000000375167,"CRC 4,000.00",,CRC 1.00,2024-11-04 17:45:04,2024-11-04 17:45:04
4198696000014223862,4198696000011637681,17 Dec 2024,Efectivo/Cash,4198696000000418009,CRC 500.00,,CRC 1.00,2024-12-17 11:12:49,2024-12-17 11:12:49
4198696000011747554,4198696000011668043,04 Nov 2024,SINPE,4198696000000375167,"CRC 1,600.00",,CRC 1.00,2024-11-04 17:45:30,2024-11-04 17:45:30
4198696000011747514,4198696000011698178,04 Nov 2024,SINPE,4198696000000375167,"CRC 1,700.00",,CRC 1.00,2024-11-04 17:44:41,2024-11-04 17:44:41
4198696000014223882,4198696000011747358,17 Dec 2024,Efectivo/Cash,4198696000000418009,"CRC 1,200.00",,CRC 1.00,2024-12-17 11:13:23,2024-12-17 11:13:23
4198696000014223902,4198696000011825502,17 Dec 2024,Efectivo/Cash,4198696000000418009,"CRC 1,500.00",,CRC 1.00,2024-12-17 11:13:44,2024-12-17 11:13:44
4198696000011910515,4198696000011855098,07 Nov 2024,SINPE,4198696000000375167,CRC 800.00,,CRC 1.00,2024-11-08 12:13:44,2024-11-08 12:13:44
4198696000011910535,4198696000011873591,07 Nov 2024,SINPE,4198696000000375167,"CRC 1,400.00",,CRC 1.00,2024-11-08 12:14:16,2024-11-08 12:14:16
4198696000011879609,4198696000011879141,07 Nov 2024,Efectivo/Cash,4198696000000418009,"CRC 49,200.00",,CRC 1.00,2024-11-07 16:15:01,2024-11-07 16:15:01
4198696000011879649,4198696000011879631,07 Nov 2024,SINPE,4198696000000375167,"CRC 49,200.00",,CRC 1.00,2024-11-07 17:19:52,2024-11-07 17:19:52
4198696000014223922,4198696000011910105,17 Dec 2024,Efectivo/Cash,4198696000000418009,CRC 500.00,,CRC 1.00,2024-12-17 11:14:07,2024-12-17 11:14:07
4198696000014223942,4198696000011910201,17 Dec 2024,Efectivo/Cash,4198696000000418009,CRC 500.00,,CRC 1.00,2024-12-17 11:14:27,2024-12-17 11:14:27
4198696000014223962,4198696000012088399,17 Dec 2024,Efectivo/Cash,4198696000000418009,"CRC 1,000.00",,CRC 1.00,2024-12-17 11:14:48,2024-12-17 11:14:48
4198696000012118172,4198696000012104283,13 Nov 2024,SINPE,4198696000000375167,"CRC 1,000.00",,CRC 1.00,2024-11-13 14:31:07,2024-11-13 14:31:07
4198696000012118192,4198696000012104559,13 Nov 2024,SINPE,4198696000000375167,"CRC 2,500.00",,CRC 1.00,2024-11-13 14:31:48,2024-11-13 14:31:48
4198696000014223982,4198696000012104879,17 Dec 2024,Efectivo/Cash,4198696000000418009,CRC 525.00,,CRC 1.00,2024-12-17 11:15:09,2024-12-17 11:15:09
4198696000012439722,4198696000012292589,19 Nov 2024,Efectivo/Cash,4198696000000418009,"CRC 1,100.00",,CRC 1.00,2024-11-19 15:45:16,2024-11-19 15:45:16
4198696000012451110,4198696000012380670,18 Nov 2024,SINPE,4198696000000375167,"CRC 2,000.00",,CRC 1.00,2024-11-19 09:29:29,2024-11-19 09:29:29
4198696000012380774,4198696000012380732,18 Nov 2024,Efectivo/Cash,4198696000000418009,"CRC 2,500.00",,CRC 1.00,2024-11-18 13:43:55,2024-11-18 13:43:55
