Bill Credits ID,Date,Amount (BCY),Created Time,Amount (FCY),Last Modified Time
4198696000013943293,27 Nov 2024,"CRC 15,707.00",2024-12-12 13:39:22,"CRC 15,707.00",2024-12-12 13:39:22
4198696000014041460,26 Nov 2024,CRC 630.00,2024-12-13 11:50:17,CRC 630.00,2024-12-13 11:50:17
4198696000014041336,26 Nov 2024,"CRC 21,485.00",2024-12-13 11:48:47,"CRC 21,485.00",2024-12-13 11:48:47
4198696000015328961,01 Dec 2024,"CRC 2,582.05",2025-01-09 21:14:24,"CRC 2,582.05",2025-01-09 21:14:24
4198696000014041338,28 Nov 2024,"CRC 20,325.00",2024-12-13 11:48:47,"CRC 20,325.00",2024-12-13 11:48:47
4198696000015101580,28 Nov 2024,"CRC 3,112.00",2025-01-06 19:27:24,"CRC 3,112.00",2025-01-06 19:27:24
4198696000013815727,11 Dec 2024,"CRC 7,057.75",2024-12-11 13:34:44,"CRC 7,057.75",2024-12-11 13:34:44
4198696000015088528,11 Dec 2024,"CRC 2,812.34",2025-01-06 19:00:41,"CRC 2,812.34",2025-01-06 19:00:41
4198696000015088530,11 Dec 2024,"CRC 1,894.11",2025-01-06 19:00:41,"CRC 1,894.11",2025-01-06 19:00:41
4198696000014951353,09 Dec 2024,"CRC 44,748.00",2025-01-03 12:12:31,"CRC 44,748.00",2025-01-03 12:12:31
4198696000015392054,06 Dec 2024,"CRC 37,958.96",2025-01-10 13:14:43,"CRC 37,958.96",2025-01-10 13:14:43
4198696000013815713,11 Dec 2024,"CRC 3,822.80",2024-12-11 13:34:08,"CRC 3,822.80",2024-12-11 13:34:08
4198696000015577065,13 Dec 2024,"CRC 66,805.60",2025-01-13 13:10:08,"CRC 66,805.60",2025-01-13 13:10:08
4198696000015101900,02 Jan 2025,"CRC 18,550.98",2025-01-06 19:31:15,"CRC 18,550.98",2025-01-06 19:31:15
4198696000015328983,17 Dec 2024,"CRC 5,452.25",2025-01-09 21:14:40,"CRC 5,452.25",2025-01-09 21:14:40
4198696000015328963,17 Dec 2024,"CRC 3,943.70",2025-01-09 21:14:24,"CRC 3,943.70",2025-01-09 21:14:24
4198696000015099606,20 Dec 2024,"CRC 35,855.53",2025-01-06 19:17:34,"CRC 35,855.53",2025-01-06 19:17:34
4198696000016168145,09 Jan 2025,"CRC 86,918.59",2025-01-21 15:42:54,"CRC 86,918.59",2025-01-21 15:42:54
4198696000016168159,09 Jan 2025,"CRC 79,635.27",2025-01-21 15:43:12,"CRC 79,635.27",2025-01-21 15:43:12
4198696000016168131,07 Jan 2025,"CRC 59,886.73",2025-01-21 15:42:33,"CRC 59,886.73",2025-01-21 15:42:33
4198696000016276806,09 Jan 2025,"CRC 7,955.20",2025-01-22 16:11:07,"CRC 7,955.20",2025-01-22 16:11:07
4198696000016276812,09 Jan 2025,"CRC 1,446.40",2025-01-22 16:11:07,"CRC 1,446.40",2025-01-22 16:11:07
4198696000016276808,09 Jan 2025,"CRC 15,548.80",2025-01-22 16:11:07,"CRC 15,548.80",2025-01-22 16:11:07
4198696000016276814,09 Jan 2025,"CRC 3,706.40",2025-01-22 16:11:07,"CRC 3,706.40",2025-01-22 16:11:07
4198696000016276810,09 Jan 2025,"CRC 3,887.20",2025-01-22 16:11:07,"CRC 3,887.20",2025-01-22 16:11:07
4198696000016641098,10 Dec 2024,"CRC 25,505.42",2025-01-27 17:41:07,"CRC 25,505.42",2025-01-27 17:41:07
4198696000017633053,02 Jan 2025,"CRC 22,600.00",2025-02-06 17:42:39,"CRC 22,600.00",2025-02-06 17:42:39
4198696000017633134,11 Jan 2025,"CRC 68,247.48",2025-02-06 17:47:29,"CRC 68,247.48",2025-02-06 17:47:29
4198696000017633112,27 Jan 2025,"CRC 39,829.34",2025-02-06 17:45:52,"CRC 39,829.34",2025-02-06 17:45:52
4198696000017633156,15 Jan 2025,"CRC 7,503.20",2025-02-06 17:49:57,"CRC 7,503.20",2025-02-06 17:49:57
4198696000017633077,30 Jan 2025,"CRC 45,200.00",2025-02-06 17:44:47,"CRC 45,200.00",2025-02-06 17:44:47
4198696000017633079,30 Jan 2025,"CRC 22,600.00",2025-02-06 17:44:47,"CRC 22,600.00",2025-02-06 17:44:47
4198696000017788063,07 Jan 2025,"CRC 25,651.00",2025-02-11 09:52:12,"CRC 25,651.00",2025-02-11 09:52:12
4198696000017788041,15 Jan 2025,"CRC 4,863.99",2025-02-11 09:51:51,"CRC 4,863.99",2025-02-11 09:51:51
4198696000017788621,13 Jan 2025,"CRC 21,633.53",2025-02-11 11:02:51,"CRC 21,633.53",2025-02-11 11:02:51
4198696000017788599,14 Jan 2025,"CRC 11,066.66",2025-02-11 11:02:09,"CRC 11,066.66",2025-02-11 11:02:09
4198696000018113025,08 Jan 2025,"CRC 51,518.96",2025-02-14 10:38:50,"CRC 51,518.96",2025-02-14 10:38:50
4198696000018113069,14 Jan 2025,"CRC 25,301.69",2025-02-14 11:02:33,"CRC 25,301.69",2025-02-14 11:02:33
4198696000018113083,05 Mar 2025,"CRC 15,257.62",2025-02-14 11:04:51,"CRC 15,257.62",2025-03-05 15:43:19
