Expense ID,Customer ID,Vendor ID,Expense Date,Is Billable,Total (BCY),Paid Through,Created Time,Status,Sub Total (BCY),Mileage Rate,Mileage Unit,Distance,Start Odometer Reading,End Odometer Reading,Mileage Type,Merchant ID,Merchant Name,User ID,Report ID,Report Number,Employee Paid Through,Currency Code,Exchange Rate,Last Modified Time
4198696000034330788,,4198696000000960013,28 Oct 2025,No,"CRC 3,000.00",4198696000000298225,2025-11-07 14:16:47,Non-Billable,"CRC 2,654.87",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:47
4198696000034330760,,4198696000000960013,28 Oct 2025,No,"CRC 1,975.00",4198696000000298225,2025-11-07 14:16:47,Non-Billable,"CRC 1,747.79",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:47
4198696000034328120,,4198696000000960013,28 Oct 2025,No,"CRC 5,000.00",4198696000000298225,2025-11-07 14:16:27,Non-Billable,"CRC 5,000.00",0.00,,,,7489.00,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:27
4198696000033584806,,4198696000001877491,28 Oct 2025,No,"CRC 587,898.51",4198696000000375167,2025-11-06 11:27:42,Non-Billable,"CRC 520,264.17",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-06 11:28:28
4198696000033373521,,,27 Oct 2025,No,"CRC 165,428.34",4198696000000375179,2025-10-30 09:42:57,Non-Billable,"CRC 165,428.34",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-10-30 09:42:57
4198696000034330676,,4198696000000960013,27 Oct 2025,No,"CRC 2,000.00",4198696000000298225,2025-11-07 14:16:47,Non-Billable,"CRC 1,769.91",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:47
4198696000034327392,,4198696000000960013,27 Oct 2025,No,"CRC 5,000.00",4198696000000298225,2025-11-07 14:16:21,Non-Billable,"CRC 5,000.00",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:21
4198696000034328092,,4198696000000960013,27 Oct 2025,No,"CRC 7,000.00",4198696000000298225,2025-11-07 14:16:27,Non-Billable,"CRC 7,000.00",0.00,,,,25054.00,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:27
4198696000034330648,,4198696000000960013,27 Oct 2025,No,"CRC 1,500.00",4198696000000298225,2025-11-07 14:16:46,Non-Billable,"CRC 1,327.43",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:46
4198696000034327308,,4198696000000960013,27 Oct 2025,No,"CRC 36,000.00",4198696000000298225,2025-11-07 14:16:21,Non-Billable,"CRC 31,858.41",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:21
