Item_ID,inv.SKU,On_Hand_Qty
4198696000000864325,509-3034,1
4198696000000864361,509-2508,5
4198696000000864397,509-2512,2
4198696000000864433,509-2516,4
4198696000000864469,509-2520,4
4198696000000864505,509-2524,4
4198696000000864541,509-2528,4
4198696000000864577,509-2532,3
4198696000000864613,509-2536,8
4198696000000864649,509-2540,2
4198696000000864685,509-2544,6
4198696000000864721,509-2548,1
4198696000000864757,509-2552,4
4198696000000864793,509-2556,2
4198696000000864829,509-2560,5
4198696000000864865,509-2564,4
4198696000000864901,509-2568,4
4198696000000864937,509-2572,2
4198696000000864973,509-2576,8
4198696000000865009,509-2580,4
4198696000000865045,509-2584,3
4198696000000865081,509-2588,2
4198696000000865117,509-2592,2
4198696000000865153,509-2596,3
4198696000000865189,509-2600,4
4198696000000865225,510-001,2
4198696000000865261,510-005,4
4198696000000865297,510-009,0
4198696000000865333,510-013,2
4198696000000865369,510-017,1
4198696000000865405,510-021,1
4198696000000865441,510-025,0
4198696000000865477,510-029,5
4198696000000865513,510-033,3
4198696000000865549,510-037,4
4198696000000865585,510-041,0
4198696000000865621,510-045,3
4198696000000865657,509-3501,3
4198696000000865693,509-3505,1
4198696000000865729,509-3509,2
4198696000000865765,509-3513,2
4198696000000865801,509-3517,2
4198696000000865837,509-3521,2
4198696000000865873,509-3525,1
4198696000000865909,509-3529,1
4198696000000865945,509-3533,2
4198696000000865981,509-3537,2
4198696000000866017,509-3003,1
4198696000000866053,509-3007,4
4198696000000866089,509-3011,2
4198696000000866125,509-3015,3
4198696000000866161,509-3019,1
4198696000000866197,509-3023,1
4198696000000866233,509-3027,1
4198696000000866269,509-3031,2
4198696000000897189,504-001,1
4198696000000897225,504-005,2
4198696000000897261,504-009,1
4198696000000897297,504-013,0
4198696000000897333,504-017,2
4198696000000897369,504-021,1
4198696000000897405,504-025,1
4198696000000897441,504-029,0
4198696000000897477,504-033,2
4198696000000897513,504-037,1
4198696000000897549,504-041,0
4198696000000897585,504-045,0
4198696000000897621,504-049,0
4198696000000897657,504-053,1
4198696000000897693,504-057,0
4198696000000897729,504-061,0
4198696000000897765,504-065,2
4198696000000897801,504-069,0
4198696000000897837,504-073,0
4198696000000897873,504-077,1
4198696000000897909,504-081,1
4198696000000897945,504-085,0
4198696000000897981,504-089,0
4198696000000898017,504-093,2
4198696000000898053,504-097,2
4198696000000898089,504-101,0
4198696000000898125,504-105,1
4198696000000898161,504-109,3
4198696000000898197,504-113,0
4198696000000898233,504-117,0
4198696000000898269,504-121,0
4198696000000898305,504-125,2
4198696000000898341,504-129,1
4198696000000898377,504-133,2
4198696000000898413,504-137,1
4198696000000898449,504-141,1
4198696000000898485,504-145,1
4198696000000898521,504-149,0
4198696000000898557,502-003,8
4198696000000898593,502-007,5
4198696000000898629,502-011,3
4198696000000898665,502-015,5
4198696000000898701,502-019,5
4198696000000898737,502-023,4
4198696000000898773,502-027,2
4198696000000898809,502-031,1
4198696000000898845,502-035,2
4198696000000898881,502-039,6
4198696000000898917,502-043,10
4198696000000898953,502-047,5
4198696000000898989,502-051,10
4198696000000899025,502-055,5
4198696000000899061,502-059,0
4198696000000899097,502-063,5
4198696000000899133,502-067,3
4198696000000899169,502-071,5
4198696000000899205,502-075,5
4198696000000899241,502-079,10
4198696000000899277,502-083,2
4198696000000899313,130-003,0
4198696000000899349,130-007,20
4198696000000899385,130-011,37
4198696000000899421,130-015,1
4198696000000899457,130-019,6
4198696000000899493,130-023,12
4198696000000899529,503-003,0
4198696000000899565,503-007,0
4198696000000899601,503-011,21
4198696000000899637,503-015,12
4198696000000899673,503-019,4
4198696000000899709,503-023,5
4198696000000899745,503-027,12
4198696000000899781,503-031,15.9
4198696000000899817,503-035,14
4198696000000983005,512-032,2
4198696000001039672,9-485,58
4198696000001039708,107-4,100
4198696000001039744,253-6,46
4198696000001039780,273-18,15
4198696000001039816,274-11,17
4198696000001039852,60-11,49
4198696000001039888,85-44,99
4198696000001039924,11-117,6
4198696000001039960,118-100,40
