Product_ID,SKU,Available_Stock,Cost_Fallback,Current_Unit_Rate
4198696000000137611,14-59,50,CRC 830.72,830.72
4198696000000137647,14-126,50,"CRC 1,196.80",1196.8
4198696000000137683,14-405,50,CRC 851.84,851.84
4198696000000137719,15-17,49,"CRC 7,687.68",7687.68
4198696000000137755,15-29,48,"CRC 4,146.56",4146.56
4198696000000137791,15-59,48,"CRC 2,330.24",2330.24
4198696000000137827,15-71,50,"CRC 6,462.72",6462.72
4198696000000137863,15-94,50,"CRC 3,111.68",3111.68
4198696000000137899,15-101,50,"CRC 8,518.40",8518.4
4198696000000137935,15-120,45,"CRC 2,759.68",2759.68
4198696000000137971,15-135,45,"CRC 2,731.52",2731.52
4198696000000138007,15-142,50,"CRC 2,386.56",2386.56
4198696000000138043,15-163,50,"CRC 2,999.04",2999.04
4198696000000138079,15-210,47,"CRC 6,913.28",6913.28
4198696000000138115,15-226,50,"CRC 4,604.16",4604.16
4198696000000138151,15-250,48,"CRC 12,073.60",12073.6
4198696000000138187,15-292,50,"CRC 3,344.00",3344
4198696000000138223,15-361,47,"CRC 4,090.24",4090.24
4198696000000138259,15-377,50,"CRC 4,723.84",4723.84
4198696000000138295,22-374,26,"CRC 68,000.00",68000
4198696000000138331,29-147,20,"CRC 2,949.76",2949.76
4198696000000138367,29-158,5,"CRC 4,216.96",4216.96
4198696000000138403,39-195,5,"CRC 7,694.72",7694.72
4198696000000138439,41-57,4,"CRC 5,716.48",5716.48
4198696000000138475,41-96,46,"CRC 5,000.00",5000
4198696000000138511,41-120,4,"CRC 2,703.36",2703.36
4198696000000138547,41-182,0,"CRC 2,534.40",2534.4
4198696000000138583,41-208,137,"CRC 3,700.00",3700
4198696000000138619,41-238,51,"CRC 2,879.36",2879.36
4198696000000138655,42-37,5,CRC 746.24,746.24
4198696000000138691,43-29,43,"CRC 1,689.60",1689.6
4198696000000138727,43-56,49,"CRC 1,344.64",1344.64
4198696000000138763,44-6,15,CRC 21.12,21.12
4198696000000138799,44-26,100,CRC 112.64,112.64
4198696000000138835,44-32,100,CRC 168.96,168.96
4198696000000138871,44-48,96,CRC 112.64,112.64
4198696000000138907,44-141,100,CRC 570.24,570.24
4198696000000138943,46-58,29,"CRC 2,710.40",2710.4
4198696000000138979,46-153,21,"CRC 2,696.32",2696.32
4198696000000139015,46-197,30,"CRC 2,830.08",2830.08
4198696000000139051,46-298,20,"CRC 7,462.40",7462.4
4198696000000139087,46-422,30,"CRC 4,181.76",4181.76
4198696000000139123,46-459,29,"CRC 1,063.04",1063.04
4198696000000139159,46-464,29,"CRC 4,188.80",4188.8
4198696000000139195,57-2,9,"CRC 24,872.32",24872.32
4198696000000139231,57-23,10,"CRC 16,325.76",16325.76
4198696000000139267,57-42,10,"CRC 21,479.04",21479.04
4198696000000139303,57-65,10,"CRC 14,136.32",14136.32
4198696000000139339,58-42,19,"CRC 3,224.32",3224.32
4198696000000139375,65-43,222,CRC 490.00,490
4198696000000139411,74-17,30,"CRC 3,738.24",3738.24
4198696000000139447,75-35,28,"CRC 19,000.00",19000
4198696000000139483,83-61,25,"CRC 6,321.92",6321.92
4198696000000139519,83-230,30,"CRC 3,569.28",3569.28
4198696000000139555,83-308,30,"CRC 6,314.88",6314.88
4198696000000139591,85-111,50,"CRC 1,260.16",1260.16
4198696000000139627,85-434,50,"CRC 6,807.68",6807.68
4198696000000139663,86-6,200,CRC 295.68,295.68
4198696000000139699,86-15,983,CRC 35.20,35.2
4198696000000139735,86-27,96,CRC 35.20,35.2
4198696000000139771,86-33,194,CRC 197.12,197.12
4198696000000139807,86-63,81,CRC 21.12,21.12
4198696000000139843,86-93,96,CRC 373.12,373.12
4198696000000139879,86-115,95,CRC 373.12,373.12
4198696000000139915,90-3,7,"CRC 4,343.68",4343.68
4198696000000139951,90-17,102,"CRC 6,600.00",6600
4198696000000139987,90-23,10,"CRC 4,519.68",4519.68
4198696000000140023,90-37,7,"CRC 4,421.12",4421.12
4198696000000140059,90-45,10,"CRC 4,491.52",4491.52
4198696000000140095,90-79,10,"CRC 5,209.60",5209.6
4198696000000140131,90-86,9,"CRC 5,104.00",5104
4198696000000140167,90-104,10,"CRC 6,293.76",6293.76
4198696000000140203,90-125,6,"CRC 5,280.00",5280
4198696000000140239,90-156,5,"CRC 4,723.84",4723.84
4198696000000140275,90-181,10,"CRC 4,963.20",4963.2
4198696000000140311,90-203,48,"CRC 1,703.68",1703.68
