Item_ID,SKU,Sales_24M_Qty,Sales_24M_Net
4198696000026124424,800-3670,6,172134.52
4198696000026057039,800-3667,1,5244
4198696000026045910,800-3663,1,43792
4198696000026043188,800-3659,4,60800
4198696000026010003,800-3654,2,214623
4198696000025902686,800-3649,3,55670.81
4198696000025886736,800-3646,2,44600
4198696000025884215,800-3640,2,42800
4198696000025881989,800-3637,8,56118.58
4198696000025881705,800-3636,1,49500
4198696000025869921,800-3632,1,48800
4198696000025832659,800-3627,1,151800
4198696000025779847,800-3622,2,45000
4198696000025738738,800-3618,1,6992
4198696000025661092,800-3607,2,28000
4198696000025639310,800-3603,1,38200
4198696000025639172,72-3332,4,32899.56
4198696000025639163,72-3333,7,58474.78
4198696000025591972,800-3599,2,8400
4198696000025591409,800-3594,4,65841.82
4198696000025591322,800-3593,2,6808
4198696000025481983,800-3590,1,4600
4198696000025370222,800-3586,2,73344
4198696000025370001,800-3584,5,36836
4198696000025336148,800-3580,1,34040
4198696000025233889,800-3576,1,23000
4198696000025233655,800-3572,2,7790
4198696000025233187,72-3340,6,40791.22
4198696000025190320,800-3564,1,55000
4198696000025140758,800-3559,1,10120
4198696000025140084,800-3555,1,17385
4198696000025079771,800-3552,2,12757.52
4198696000025079164,527-0062,1,13000
4198696000025064278,800-3544,1,27800
4198696000025051106,800-3541,1,22300
4198696000025038295,800-3537,2,13632
4198696000024993516,800-3534,1,8372
4198696000024931670,800-3530,1,25000
4198696000024931012,800-3527,1,7700
4198696000024860844,800-3523,2,46600
4198696000024860126,800-3519,1,58000
4198696000024819812,800-3515,1,32752
4198696000024805921,517-1152,18,274168.14
4198696000024805849,517-1151,21,315223.89
4198696000024805572,512-1037,5,51846.9
4198696000024805563,512-1036,7,116715.05
4198696000024805181,800-3510,1,20000
4198696000024764324,800-3509,1,89500
4198696000024699587,106-2045,5,223350.8
4198696000024699395,106-2044,9,87638.41
4198696000024690918,800-3503,2,61838.94
4198696000024690379,800-3500,1,45500
4198696000024684943,3-208,3,10088.32
4198696000024684246,505-049,3,47911.51
4198696000024604356,800-3492,5,86100
4198696000024601029,800-3489,1,84000
4198696000024597545,512-1035,8,133419.48
4198696000024597481,509-0250,1,9469.03
4198696000024538262,800-3483,1,34000
4198696000024532660,800-3481,2,52000
4198696000024527001,900-012,1,0
4198696000024424686,509-2615,1,8280
4198696000024424249,800-3469,1,15548
4198696000024395008,800-3465,1,84000
4198696000024343221,533-164,1,16800
4198696000024338511,512-1034,4,43950.41
4198696000024324922,800-3459,1,18050
4198696000024324692,512-1033,30,134824.43
4198696000024324452,800-3456,1,8000
4198696000024318250,800-3453,2,71100
4198696000024318112,800-3451,4,103287.63
4198696000024274878,800-3448,1,26900
4198696000024274209,800-3445,2,26012.39
4198696000024259921,800-3441,1,13000
4198696000024250630,800-3437,1,12000
4198696000024192167,510-1079,2,140400
4198696000024171350,800-3425,1,18500
4198696000024145582,800-3420,3,15000
4198696000024105338,800-3417,2,6200
4198696000024053240,800-3415,1,84272
4198696000024047764,106-3011,29,159201.14
4198696000024047735,106-3009,21,289289.45
4198696000024047475,800-3413,2,97850
4198696000023999389,800-3409,1,25300
4198696000023990079,800-3405,2,34000
4198696000023858494,72-3327,6,34407.08
4198696000023858005,800-3401,4,28800
4198696000023792615,531-019,4,7116.81
4198696000023792302,800-3396,3,41700
4198696000023774815,800-3393,2,31680
4198696000023774374,800-3390,1,6800
4198696000023716595,800-3387,1,50900
4198696000023716200,800-3383,1,16928
4198696000023704483,800-3379,1,126000
4198696000023685805,800-3376,2,13976.11
4198696000023685434,800-3373,3,22225.66
4198696000023644992,800-3371,1,10000
4198696000023644268,800-3367,1,76000
4198696000023629903,800-3364,5,184800
4198696000023622484,800-3361,2,6000
4198696000023615788,800-3358,2,35520
4198696000023573754,800-3355,3,317360.18
