Creditnotes refund ID,Refund Date,Account ID,Amount (BCY),Created Time,Last Modified Time
4198696000011672637,02 Nov 2024,4198696000000418009,"CRC 15,800.00",2024-11-02 12:58:40,2024-11-02 12:58:40
4198696000011698369,04 Nov 2024,4198696000000418009,"CRC 26,000.00",2024-11-04 11:50:44,2024-11-04 11:50:44
4198696000011795252,05 Nov 2024,4198696000000418009,"CRC 32,000.00",2024-11-05 15:45:50,2024-11-05 15:45:50
4198696000011825941,06 Nov 2024,4198696000000375167,"CRC 65,600.00",2024-11-06 12:13:35,2024-11-06 12:13:35
4198696000011855393,06 Nov 2024,4198696000000418009,CRC 600.00,2024-11-06 16:47:53,2024-11-06 16:47:53
4198696000011953129,08 Nov 2024,4198696000000418009,"CRC 1,900.00",2024-11-08 14:55:38,2024-11-08 14:55:38
4198696000011974315,09 Nov 2024,4198696000000418009,"CRC 36,000.00",2024-11-09 10:39:07,2024-11-09 10:39:07
4198696000011974461,09 Nov 2024,4198696000000418009,"CRC 58,000.00",2024-11-09 11:36:36,2024-11-09 11:36:36
4198696000012104003,12 Nov 2024,4198696000000418009,"CRC 32,200.00",2024-11-12 12:11:54,2024-11-12 12:11:54
4198696000012118118,13 Nov 2024,4198696000000375167,"CRC 2,000.00",2024-11-13 14:27:52,2024-11-13 14:27:52
4198696000012153011,14 Nov 2024,4198696000000375167,"CRC 65,200.00",2024-11-14 09:41:59,2024-11-14 09:41:59
4198696000012336512,16 Nov 2024,4198696000000418009,"CRC 9,200.00",2024-11-16 11:46:01,2024-11-16 11:46:01
4198696000012380558,18 Nov 2024,4198696000000418009,"CRC 20,600.00",2024-11-18 12:34:20,2024-11-18 12:34:20
4198696000012380862,18 Nov 2024,4198696000000375167,"CRC 10,000.00",2024-11-18 14:47:11,2024-11-18 14:47:11
4198696000012380884,18 Nov 2024,4198696000000418017,"CRC 14,800.00",2024-11-18 14:47:45,2024-11-18 14:47:45
4198696000012464205,19 Nov 2024,4198696000000375167,"CRC 24,656.00",2024-11-19 11:46:33,2024-11-19 11:46:33
4198696000012517126,20 Nov 2024,4198696000000375167,"CRC 120,000.00",2024-11-20 09:24:41,2024-11-20 09:24:41
4198696000012517152,20 Nov 2024,4198696000000375167,"CRC 14,500.00",2024-11-20 09:25:48,2024-11-20 09:25:48
4198696000012517178,20 Nov 2024,4198696000000375167,"CRC 22,000.00",2024-11-20 09:26:01,2024-11-20 09:26:01
4198696000012558085,20 Nov 2024,4198696000000418009,"CRC 56,200.00",2024-11-20 12:32:25,2024-11-20 12:32:25
4198696000012558728,20 Nov 2024,4198696000000418009,"CRC 42,600.00",2024-11-20 14:31:09,2024-11-20 14:31:09
4198696000012750015,23 Nov 2024,4198696000000418009,"CRC 26,000.00",2024-11-23 09:07:10,2024-11-23 09:07:10
4198696000012849031,25 Nov 2024,4198696000000418009,"CRC 35,144.00",2024-11-25 16:10:32,2024-11-25 16:10:32
4198696000013063550,28 Nov 2024,4198696000000418009,"CRC 29,000.00",2024-11-28 12:21:34,2024-11-28 12:21:34
4198696000013167724,29 Nov 2024,4198696000000375167,"CRC 21,300.00",2024-11-29 15:13:22,2024-11-29 15:13:22
4198696000013181259,30 Nov 2024,4198696000000418009,"CRC 47,400.00",2024-11-30 10:52:26,2024-11-30 10:52:26
4198696000013181627,30 Nov 2024,4198696000000418009,"CRC 24,288.00",2024-11-30 12:29:10,2024-11-30 12:29:10
4198696000013263791,02 Dec 2024,4198696000000418009,"CRC 30,600.00",2024-12-02 15:16:57,2024-12-02 15:16:57
4198696000013294662,02 Dec 2024,4198696000000375167,"CRC 53,500.00",2024-12-02 17:24:15,2024-12-02 17:24:15
4198696000013294688,02 Dec 2024,4198696000000375167,"CRC 48,400.00",2024-12-02 17:24:32,2024-12-02 17:24:32
