Item Name,Sale Quantity,Quantity Ordered,Sub Total,Total,Profit
NGK BKR5E-11 BUJIA PROYECT.CON RESISTENCIA 14X19 MM 16 MM,289,289.00,"624,577.45","CRC 420,756.00","$203,821.45"
Radiador Toyota Yaris/Vios 14/2018 (NSP151L-AEXRK)  1NR / 2NR,7,7.00,"330,893.81","CRC 130,515.00","$200,378.81"
BOBINA DE ENCENDIDO NISSAN LIVINA/ MICRA/ QASHQAI/ TIDA / XTRAIL 1.6/ 2.0 20 TIIDA,34,34.00,"345,539.84","CRC 146,322.00","$199,217.84"
Radiador Toyota Corolla 2008-2013 16AT,9,9.00,"349,247.80","CRC 151,744.95","$197,502.85"
90919-02239 BOBINA IGNICION TOYOTA COROLLA 2009,32,32.00,"740,938.07","CRC 544,000.00","$196,938.07"
DEPOSITO DE RESERVA P/REFRIGERANTE MAZDA 3/ AXELA 2004-2011,44,44.00,"340,283.13","CRC 144,317.23","$195,965.90"
ROL BOCINA DELANTERO HYUNDAI ACCENT VERNA ELANTRA J2 1.6/ CHEVROLET AVEO 1996-1999 PICANTO 2004 / DAIHATSU TERIOS/GETZ,55,55.00,"295,545.13","CRC 102,495.77","$193,049.36"
Radiador Hyundai Accent 1999-2005 16AT,9,9.00,"338,531.29","CRC 148,780.89","$189,750.40"
CIGÜEÑAL COROLLA 4A/ 4AFE/ 5AFE/ 5AF 16V BANCADA 40MM,6,5.00,"286,548.69","CRC 99,775.50","$186,773.19"
KIT CLUTCH GEELY GC6 1.5cc GX3 190MM,12,12.00,"737,115.03","CRC 550,803.96","$186,311.07"
SET DE ZAPATAS DE FRENO TRASERAS MAZDA/ FORD 4X2/ 4X4 BT50 2005 ON 4X2 .,14,2.00,"195,313.26","CRC 9,185.00","$186,128.26"
Tijereta Inferior LH Toyota Yaris/Vios 09/ETIOS/2018 (NSP151L-AEXRK),16,16.00,"309,040.73","CRC 124,080.00","$184,960.73"
Alternador 12V 110A Hyundai Tucson 2.0 2009-2010 Sonata V VI 2.0 2.4 2005-2010 ix35 2.0 2.4 AWD 4WD 2009-2015,5,5.00,"339,070.78","CRC 154,281.10","$184,789.68"
Rotula Cremallera Interna Hyundai I-10 GL Manual G4LA,65,65.00,"275,876.10","CRC 91,162.50","$184,713.60"
CHEVRON HAVOLINE XTEND LIFE PRMX GALON,79,79.00,"939,235.60","CRC 754,789.70","$184,445.90"
PUNTA DE EJE TOYOTA COROLLA 08- C/ABS 26x32x58 externa,28,28.00,"669,097.34","CRC 484,774.64","$184,322.70"
RADIADOR TOYOTA TACOMA 2005-2015,2,1.00,"292,035.40","CRC 107,964.61","$184,070.79"
KIT CLUTCH NIS TIIDA / MARCH 1.6cc HR16,7,7.00,"743,382.79","CRC 559,803.30","$183,579.49"
BOBINA ACCENT VELOSTER 14-18,33,33.00,"743,508.87","CRC 561,000.00","$182,508.87"
Cremallera de Dirección sin Rotulas NISSAN PATHFINDER,2,2.00,"332,920.24","CRC 150,735.62","$182,184.62"
22448-6N015 UF-509 UF-350 UF-351 BOBINA NISSAN XTRAIL B15 ALMERA 22448-8H300,35,35.00,"775,066.66","CRC 595,000.00","$180,066.66"
