SKU,Product_ID,Sales_24M_Qty,Sales_24M_Net,Avg_Demand_Used,Avg_Demand_6M,Outstanding_Qty,Last_Purchase_Date,Last_Purchase_Price,On_Hand_Qty,On_Hand_Source,Coverage_Months,On_Hand_Value_LastCost,Reorder_Eligibility,Reorder_Flag,Stock_Shortfall,Months_Short
,4198696000005884939,1,11769.91,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000028098501,2,630,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000030365362,8,3185.84,8,,,,,,,,,ELIGIBLE,1,8,1
,4198696000001878513,2,2849.56,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000005229004,1,2389.38,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000019063136,2,3893.81,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000019246859,2,20176.99,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000032265374,1,201830.09,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000008913451,1,17079.65,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000018238696,2,25663.72,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000007419626,1,9668.14,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000021764058,1,24831.86,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000029037350,1,34048.67,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000015958006,1,13185.84,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000024081710,3,22226.55,3,,,,,,,,,ELIGIBLE,1,3,1
,4198696000004019233,4,50265.49,4,,,,,,,,,ELIGIBLE,1,4,1
,4198696000018531670,1,27168.14,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000013706408,1,47139.82,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000009866620,1,16283.19,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000006691628,1,4955.75,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000022085049,1,17256.64,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000019374537,1,10339.82,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000014491151,1,1858.41,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000002265238,1,7964.6,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000028104499,2,22362.83,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000015969336,1,10828.32,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000018731130,2,12920.35,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000028945902,6,1858.41,6,,,,,,,,,ELIGIBLE,1,6,1
,4198696000018687004,1800,1592.92,1800,,,,,,,,,ELIGIBLE,1,1800,1
,4198696000026645185,1,8141.59,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000009844291,1,1858.41,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000005312064,2,7787.61,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000022871880,2,5309.73,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000023898010,2,27787.61,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000033271929,2,20177,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000021083032,4,27681.42,4,,,,,,,,,ELIGIBLE,1,4,1
,4198696000006362120,6,1592.92,6,,,,,,,,,ELIGIBLE,1,6,1
,4198696000019212452,1,3008.85,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000027288060,10,3097.35,10,,,,,,,,,ELIGIBLE,1,10,1
,4198696000004008199,1,13982.3,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000023416124,1,54646.02,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000028974116,1,66371.68,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000028015081,1,2768.14,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000016630189,2,17097.35,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000008824288,5,12831.86,5,,,,,,,,,ELIGIBLE,1,5,1
,4198696000022450006,1,2920.35,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000014491436,1,27079.65,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000004161074,2,619.47,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000023429905,2,353.98,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000029368103,1,41858.41,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000007681162,2,31442.48,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000022109316,1,8522.12,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000027101595,1,2123.89,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000023393219,1,2831.86,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000018162556,1,1681.42,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000032423175,2,9752.22,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000031446484,1,21946.9,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000030743152,1,2212.39,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000005966893,1,1092.92,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000031614353,6,15398.23,6,,,,,,,,,ELIGIBLE,1,6,1
,4198696000001567004,1,17345.13,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000023392341,1,2035.4,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000016214114,1,2477.88,1,,,,,,,,,ELIGIBLE,1,1,1
