SKU,Product_ID,Last_Purchase_Date,Last_Purchase_Price
800-1590,4198696000008899273,,15000
72-3155,4198696000009817563,,5037.13
44-1044,4198696000007344121,,582
800-183,4198696000002744001,,25000
800-201,4198696000002859898,,15000
512-164,4198696000003359080,,12885.85
509-0214,4198696000003396171,,10298.15
800-517,4198696000004325059,,425
800-811,4198696000005326437,,6229.17
800-1298,4198696000007279522,,15900
800-1340,4198696000007542147,,28720
800-1681,4198696000009446046,,25000
800-528,4198696000004339415,,7800
530-0012,4198696000003679336,,3799
530-0015,4198696000003679363,,3450
512-166,4198696000005279177,,7003.84
900-004,4198696000006723333,,0.09999999999999999
376-3015,4198696000007121492,,5956.5
527-0030,4198696000008583019,,11500
800-1699,4198696000009577201,,30098.23
522-0200,4198696000010346607,,13900
534-0029,4198696000010698252,,3750
800-1182,4198696000006777849,,31217.64
11-1006,4198696000004417700,,7865
800-1326,4198696000007471161,,38108.97
800-516,4198696000004325031,,8605.32
800-1438,4198696000008096143,,21835
800-1861,4198696000010661457,,27990
800-274,4198696000003142119,,7900
83-2008,4198696000004421088,,4471.5
44-1001,4198696000004655178,,1487
800-941,4198696000005905681,,18000
72-3098,4198696000006468735,,5520
800-1208,4198696000006842597,,3475.82
533-015,4198696000007344500,,21500
118-504,4198696000007811489,,649
73-1005,4198696000007811750,,1133
118-510,4198696000007812155,,2486
83-2022,4198696000007812200,,3140.5
512-1003,4198696000008289886,,11877
512-1005,4198696000009503346,,14550
530-1040,4198696000009874284,,4500
800-1809,4198696000010336322,,8861.55
57-502,4198696000004629731,,15279
534-0022,4198696000006945001,,2150
800-1460,4198696000008140069,,8878.85
800-1840,4198696000010559308,,12693.97
522-0160,4198696000001615382,,23254.12
530-2005,4198696000003952883,,5340
800-1103,4198696000006515023,,3554
72-3056,4198696000004715021,,4947
800-1217,4198696000006904345,,28872.71
800-1308,4198696000007365125,,24545
518-0611,4198696000010287157,,32300
800-237,4198696000003013170,,17950
800-863,4198696000005543820,,63913.05
533-050,4198696000005766046,,27500
800-989,4198696000006102082,,23400
800-1006,4198696000006129124,,6350
800-1122,4198696000006583518,,22500
800-1072,4198696000006422241,,7046.54
800-1333,4198696000007509491,,7149.15
800-1623,4198696000009033285,,23069
800-1659,4198696000009409455,,8800
533-125,4198696000010521338,,22950
800-1154,4198696000006687902,,16000
527-0040,4198696000008585077,,19463.85
800-1563,4198696000008804863,,20013
800-1628,4198696000009029782,,11881
533-033,4198696000009305082,,22000
800-553,4198696000004483187,,800
800-1033,4198696000006248386,,8062.25
44-1158,4198696000009530272,,695
535-0005,4198696000010117024,,5200
800-470,4198696000004093260,,5900
800-1562,4198696000008804421,,21087.65
83-2015,4198696000004421718,,3943.5
800-559,4198696000004546010,,2900
800-842,4198696000005493561,,11298.72
254-504,4198696000007811354,,385
46-2026,4198696000004629426,,4191
75-1007,4198696000004629830,,19728.5
800-212,4198696000002904345,,52300
530-1024,4198696000003952305,,2929
800-465,4198696000004045563,,4372.185
72-3057,4198696000004832377,,5600
72-3000,4198696000005387508,,4500
800-928,4198696000005829668,,2990
522-0210,4198696000006649138,,27500
534-0069,4198696000007874949,,1795
800-1427,4198696000008012192,,6000
800-1781,4198696000010185307,,18130.32
72-3228,4198696000002859030,,16540
83-2034,4198696000004420177,,8167.5
44-1004,4198696000004777023,,650
800-1501,4198696000008394664,,4400
800-1663,4198696000009409491,,1100
