Item Name,Quantity,Sales Value,Avg Price
54500-3JA0C TIJ.SUS. RH INF / NISS- PATHFINDER-R52 4X2 12-21 (COMPLETA CON ROTULA),1.00,"65,784.07","65,784.07"
54500-4A000 TIJ.SUS. LH INF / HYUN-H1 4X2 97-07,2.00,"46,017.70","23,008.85"
54500-4EA0B TIJ.SUS. RH INF / NISS- QASHQAI 4X2 14-22,1.00,"30,973.45","30,973.45"
54500-G6000 TIJERETA SUSPENSION LH INFERIOR / KIA- PICANTO 4X2 17-23 (COMPLETA CON ROTULA),1.00,"25,221.24","25,221.24"
54501-3JA0C TIJ.SUS. LH INF / NISS- PATHFINDER-R52 4X2 12-21 (COMPLETA CON ROTULA),1.00,"65,784.07","65,784.07"
54501-4A000 TIJ.SUS. RH INF / HYUN-H1 4X4 97-07,2.00,"46,017.70","23,008.85"
54501-4EA0B TIJ.SUS. LH INF / NISS- QASHQAI 4X2 14-22,1.00,"30,973.45","30,973.45"
54501-G6000 TIJERETA SUSPENSION RH INFERIOR / KIA- PICANTO 4X2 17-23 (COMPLETA CON ROTULA),1.00,"25,221.24","25,221.24"
54530-3S000 SBK-8122 ROT INF TUCSON 11- SPORT,2.00,"22,123.89","22,123.89"
"60-447 HORQUILLA INF ""R"" MAZDA CX7 2007-2012",1.00,"69,366.37","69,366.37"
6007-2RSC3GSP ROL 60072RSC3,1.00,"1,791.15","1,791.15"
614018 BCA/NAT EMP CHEVROLET 35MM EJE V,1.00,"29,911.50","29,911.50"
6201DDUC3E NSK 12X32X10 6201 2NSL 6201LL,1.00,"2,654.87","2,654.87"
6204-2RSC3GSP ROL 62042RSC3,1.00,"1,302.65","1,302.65"
6205-2RSC3GSP ROL 62052RSC3,1.00,"1,709.73","1,709.73"
6207 2RSC3 KOYO,2.00,"29,557.52","29,557.52"
"6M8G-12A366 099700-1062 UF-540 921- 2104 BOBINAS DIS MAZDA CX7 2,3L",8.00,"184,070.80","92,035.40"
"8-10456541-0 PC404 ISUZU RODEO TROOPER 3,2L",1.00,"25,663.72","25,663.72"
"84306-OK050 TOYOTA HILUX 10-13 FORTUNER 10-1384306-0K050, 84306- 0K051,84306-12",4.00,"112,035.39","28,008.85"
89467-35011 89467-35090 234-9002 234-9001 234-9003 A/F TACOMA 4 RUNNER,1.00,"81,061.95","81,061.95"
89467-52020  234-9052 89467-12100 TOYOTA YARIS  12- COROLLA 89467-02020 2.5 OM,4.00,"370,492.02","92,623.00"
90048-52125BOBINA DIS DAHIATSU CUORE SIRION CHARADE,1.00,"26,991.15","26,991.15"
"90080-19021 90919-02265 BOBINA IGNICION UF316 YARIZ,ECHO,PRIUZ,UF-316",214.00,"4,855,313.35","48,072.41"
90480-30025 SELLO DE TUBO DE BUJIA 2S 3S 4S 5S,4.00,"10,973.45","10,973.45"
90919-02239 BOBINA IGNICION TOYOTA COROLLA 2009,32.00,"740,938.07","46,308.63"
90919-05070 PC819 90919-05087 90919- 05081 PC271 TOYOTA YARIZ 00-12 PRIUS 0,1.00,"27,079.65","27,079.65"
"90919-C2002 UF-495 BOBIN COROLLA 08-10 2,4LTACOMA 2,7, 04-09 RUNNER V6 4L 02-0",8.00,"210,621.70","105,310.85"
90X104X11 RET KOSS CIG.TRA CHV OPTRA 8-9,1.00,"5,929.20","5,929.20"
927-402 AS5 AS10MAP GMC ELANTRA 90-94 MATIZ DAEWOO,1.00,"24,336.28","24,336.28"
93490-1R410 HYUNDAI ACCENT BLUE KIA RIO 2012+ STA FE 2013+ SOGA DE PITO 1.4/1.6,1.00,"27,079.65","27,079.65"
93490-2B150 HYUNDAI 07-10 SANTA FE,1.00,"28,318.58","28,318.58"
93490-3X040 2011-2013 ELANTRA 2009- 2015 SONATA,3.00,"80,456.64","26,818.88"
96253542 PC549 PC550 CHEVROLET AVEO,1.00,"24,336.28","24,336.28"
96476979 UF-620 CAFEBOBINA 7PIN AVEO 09-11 CRUZE 11-13SONICPAQUETEGRIS,4.00,"186,663.73","46,665.93"
ABANICO RADIADOR HONDA CR-V 2002-2005,1.00,"44,247.79","44,247.79"
ABRILLANTADOR MULTIUSO 1 GALON,2.00,"18,761.06","9,380.53"
ABRILLANTADOR MULTIUSO 240 ML,7.00,"11,592.92","1,932.15"
ABRO CHAMOIS PREMIUM PEQ 30% 17x13,1.00,"1,769.91","1,769.91"
ABRO CINTA MASKIN 1/2 12MM 30YD (C72),2.00,619.46,309.73
ABRO COPPER SPRAY EMPAQUES 9oz,22.00,"73,114.36","3,481.64"
ABRO DESODORANTE CARRO NUEVO,28.00,"23,008.84","1,210.99"
ABRO DESODORANTE CEREZA,3.00,"2,964.61",988.20
ABRO DESODORANTE FRESA,1.00,"1,150.44","1,150.44"
ABRO DESODORANTE VAINILLA,4.00,"3,805.32",951.33
ABRO ENFRIADOR RADIADOR ROJO GL (c6),6.00,"15,752.23","2,625.37"
ABRO ENFRIADOR RADIADOR VERDE 1.gl 3.78,20.00,"46,017.66","3,539.82"
ABRO GATA CARRETILLO G,3.00,"45,840.71","15,280.24"
ABRO GRASA MULTIPROP AMBAR #2 (c10),20.00,"48,286.76","2,840.40"
ABRO LIMP CARBURADOR 12oz 340 gr  20porc,204.00,"338,616.25","4,079.71"
ABRO LIMP CONTACTOS ELECTRICOS 10 oz 2,12.00,"33,699.97","3,370.00"
ABRO LIMP CONTACTOS ELECTRICOS 210ML EC-533-M(c24),9.00,"18,192.83","2,021.43"
ABRO LIMP CONTACTOS ELECTRICOS 400ML,18.00,"48,814.20","2,871.42"
ABRO LIMP CONTACTOS ELECTRICOS 5.5 oz,6.00,"16,311.51","3,262.30"
ABRO NIEVE AEROSOL (C12),1.00,"1,946.90","1,946.90"
ABRO PASTA ESMERILAR VÁLV GRUES/FINA (,2.00,"2,831.86","1,415.93"
ABRO PENETRANTE LUBRICANTE 100ml 3.3oz,3.00,"2,513.28",837.76
ABRO PENETRANTE LUBRICANTE 283g 10oz  (,5.00,"10,952.19","2,190.44"
ABRO PENETRANTE LUBRICANTE 7 Onz 210m,7.00,"9,174.31","1,310.62"
ABRO PINTURA ALUMINIO METALICO AEROS 400ML,8.00,"14,142.48","2,357.08"
ABRO PINTURA AZUL /ENV METALICO 400ML (C12),3.00,"4,247.79","2,123.90"
ABRO PINTURA BLANCO BRILLA AEROS 8oz,5.00,"5,929.20","1,976.40"
ABRO PINTURA BLANCO MATE AEROS 8oz,1.00,"1,017.70","1,017.70"
ABRO PINTURA MOTOR ALT TEMP AERO ROJO,6.00,"22,079.64","5,519.91"
ABRO PINTURA MOTOR ALTA TEMP AERO GRIS 11OZ (C12),2.00,"5,309.74","2,654.87"
ABRO PINTURA MOTOR ALTA TEMPERATURA SPRAY NEGRO,12.00,"40,601.81","3,383.48"
ABRO PINTURA NEGRO BRILLA AEROSOL 8oz,125.00,"140,793.67","3,610.09"
ABRO PINTURA NEGRO MATE AEROS 8oz 227gr (c12),54.00,"67,513.27","3,750.74"
ABRO PINTURA PREMIER GRIS AEROS 8oz,13.00,"14,601.76","1,622.42"
ABRO PINTURA ROJO FUEGO AEROS 8oz,6.00,"6,716.82","1,343.36"
ABRO PINTURA TRANS LACA AEROS 8oz,5.00,"4,911.50","1,227.88"
ABRO RADIADOR FLUSH 354ml 12oz (c24),3.00,"5,345.14","1,781.71"
ABRO REMOV PINTURA AEROS 10oz 283 grs (c12),2.00,"4,159.29","4,159.29"
ABRO SELLAFUGAS POLVO RADIADOR 20gr,1.00,353.98,353.98
ABRO SILICON ROJO 3OZ (c12) Q-19-00417,1.00,"1,946.90","1,946.90"
ABRO SILICON ULTRA GRIS,1.00,"1,415.93","1,415.93"
ABRO SILICON ULTRA GRIS 3oz 85g (c12),39.00,"74,004.44","3,700.22"
ABRO SILICON ULTRA NEGRO 343c 3OZ (c12),3.00,"5,575.23","1,858.41"
ABS TRAS IZQ ACCENT KIA RIO 2011/2022,1.00,"31,100.88","31,100.88"
AC1004 SENTRA PLATINA,1.00,"30,600.00","30,600.00"
AC464 AC477 22270-22060 TOYOTA COROLLA YARIZ 00-06 MATRIX 03-06 1.8L,1.00,"37,288.50","37,288.50"
AC629 AC587 AC485 35150- 23700TUCSONELANTRA 03-11 SPORTAGE 05-09ACCENT 2007,1.00,"39,823.01","39,823.01"
ACEITE ATF SUPER MINERAL MP,33.00,"128,123.88","9,151.71"
ACEITE PROTECTOR MINERAL PCMO 20W50 SNGL,15.00,"196,991.19","14,070.80"
ACOPLE MANG. RAD. INF. HY. TUC iX35/SONATA YF/IONIC/ELANTRA 15-,1.00,"14,248.00","14,248.00"
ADAPTADOR PARA CONECTOR DE FOCO DELANTERO BOMBILLO P43T,11.00,"3,415.35",487.91
ADITIVO ACEITE ALTO AL HUMO,43.00,"191,238.81","4,553.30"
ADITIVO ACEITE LEVANTA VALVULAS,9.00,"26,725.64","2,969.52"
ADITIVO COMBUSTIBLE LIMPIADOR DE INYECTORES,5.00,"26,106.18","5,221.24"
ADITIVO ENFRIAMIENTO TAPA  FUGAS RADIADOR,2.00,"7,610.62","3,805.31"
ADITIVO INCREMENTADOR DE OCTANAJE 10 OZ,6.00,"14,867.25","3,716.81"
ADITIVO LIMPIADOR DE INYECTORES 6 OZ,2.00,"4,070.79","2,035.40"
AF2884 Filtro Servicio Liviano Aire Primario Panel,1.00,"12,212.39","12,212.39"
"AFH70-36, AFH70M-3822680-CA000 MAS040713800-66J00",2.00,"147,079.65","73,539.82"
AFM 482 E5T08071 MONTERO 9 E5T07171,1.00,"74,336.28","74,336.28"
AGUA BATERIA 500 ML,9.00,"6,816.34","1,704.08"
AIR DES MINI VENT COOL ICE,11.00,"19,920.54","1,992.05"
AIR DES MINI VENT VAINILLA SKY,4.00,"6,106.20","1,526.55"
AIR DES MINI VENT WILD BERRY,9.00,"15,800.00","1,975.00"
AIR DES SINGLE CARD CITRUS BREEZE,2.00,"1,548.68",774.34
AIR DES SINGLE CARD REDKISS,1.00,884.96,884.96
AIR DES SINGLE CARD TROPICAL BERRY,3.00,"2,433.64",811.21
AIRE CR-V 11-14 2.4 K24Z AIRE CR-V 11-14 2.4 K24Z,1.00,"3,582.30","3,582.30"
ALS1029 CGQHD012 ABS TRACERO IZQUIERDO CRV 02-06,1.00,"33,805.31","33,805.31"
ALS1086CGQHD013 ABSDELANTERO IZQUIERDO CRV 02-06,1.00,"33,805.31","33,805.31"
ALS1101 CGQHD010 ABS DELANTERO DER,1.00,"27,079.65","27,079.65"
ALS1101 CGQHD010 ABS TRACERO DERECHO CRV 02-06,2.00,"67,610.62","33,805.31"
ALS1262 SENSOR ABS RAV4 06-12 R-LH,1.00,"33,805.31","33,805.31"
ALS2034 ABS F-L GRAND VITARA 06-13 SX4,3.00,"103,362.83","34,454.28"
ALS2320 ABS RAV4 06-12 F-LH,2.00,"66,499.11","33,249.56"
ALS587 ABS TUCSON,1.00,"27,079.65","27,079.65"
ALS593 ABS TUCSON,1.00,"27,079.65","27,079.65"
ALTERNADOR DELCO CHEVROLET SUZUKI 12V85A,2.00,"214,159.30","107,079.65"
ALTERNADOR MIT. 12V 6-5 HYUNDAI GRACE GALLOPER 2 CANALES C- BOMBA 65AMP,1.00,"130,088.50","130,088.50"
ALTERNADOR MITSUBISHI HONDA 12V 70A 13893,2.00,"236,106.20","118,053.10"
ALTERNADOR MITSUBISHI MAZDA 90A L11008,1.00,"127,433.63","127,433.63"
AM CHEV SPARK MATIZ 98-05 TRAS GAS CELERIO 09-12,2.00,"41,033.63","41,033.63"
AM KIA SOUL 10-14 TRAS (349132),2.00,"47,787.61","47,787.61"
AM MAZ 323/PROTEGE 01-03 DEL RH,3.00,"107,787.60","35,929.20"
AM MAZ 323/PROTEGE 98-03 TRAS RH P/BAJO,3.00,"95,309.73","31,769.91"
AM MIT LANCER 01-06 DEL PLATO ALTO 11 R/L CHASIS CS6,12.00,"298,456.66","49,742.78"
