Item ID,Product ID,Item Name,Quantity,Sub Total (BCY),Total (BCY),Sales order ID,Project ID,Last Modified Time,Created Time
4198696000003952451,4198696000001353962,SERVICIO EXPRESS MOTO,9.00,"CRC 2,787.61","CRC 2,787.61",4198696000003952442,,2024-03-15 10:32:33,2024-03-15 10:32:33
4198696000012035248,4198696000001353962,SERVICIO EXPRESS MOTO,1.00,CRC 309.73,CRC 309.73,4198696000012035237,,2024-11-26 14:54:00,2024-11-11 11:30:54
4198696000001487022,4198696000001481086,GALLETA COMPENSADOR HYUNDAI TUCSON 04-10 DELANTERA KIA SPORTAGE 04-10 SANTA FE,2.00,"CRC 22,477.88","CRC 22,477.88",4198696000001487001,,2023-11-29 10:35:38,2023-11-28 14:34:09
4198696000001487020,4198696000001481095,GALLETA COMPENSADOR HYUNDAI AVANTE 96-99 TRASERA RH ELANTRA 00-05 TUCSON 04,1.00,"CRC 8,672.57","CRC 8,238.94",4198696000001487001,,2023-11-29 10:35:38,2023-11-28 14:34:09
4198696000001487018,4198696000001481104,GALLETA COMPENSADOR HYUNDAI AVANTE 96-99 TRASERA LH ELANTRA 00-05 TUCSON 04,1.00,"CRC 8,318.58","CRC 7,902.65",4198696000001487001,,2023-11-29 10:35:38,2023-11-28 14:34:09
4198696000001487041,4198696000001481266,COMPENSADOR DELANTERO RH HYUNDAI TUCSON 05-09 334502,1.00,"CRC 29,115.04","CRC 27,659.29",4198696000001487001,,2023-11-29 10:35:38,2023-11-28 14:34:09
4198696000001487039,4198696000001481275,COMPENSADOR DELANTERO LH HYUNDAI TUCSON 05-09 334503,1.00,"CRC 29,115.04","CRC 27,659.29",4198696000001487001,,2023-11-29 10:35:38,2023-11-28 14:34:09
4198696000001487045,4198696000001481284,COMPENSADOR TRASERO RH HYUNDAI TUCSON 05-09 303644,1.00,"CRC 43,362.83","CRC 41,194.69",4198696000001487001,,2023-11-29 10:35:38,2023-11-28 14:34:09
4198696000001487043,4198696000001481293,COMPENSADOR TRASERO LH HYUNDAI TUCSON 05-09 303645,1.00,"CRC 43,362.83","CRC 41,194.69",4198696000001487001,,2023-11-29 10:35:38,2023-11-28 14:34:09
4198696000001487051,4198696000001481302,ROTULA DIRECCION EXTERNA LH HYU TUCSON/SPORTAGE 04-10 SEK8041L,1.00,"CRC 7,433.63","CRC 7,359.29",4198696000001487001,,2023-11-29 10:35:38,2023-11-28 14:34:09
