Item Name,Count,Amount,Invoice Overdue Count,Invoice Overdue Amount
"(G) FIL AI HYUNDAI I10 13- 1.0 1.2 EON 1.0",1,"CRC 75,500.00",0.00,0.00
"(G) FIL AI MONTERO 2005 TURBO INTERCOLER FMA-1436",1,"CRC 3,200.00",0.00,0.00
"(G) FIL AI NIS VERSA TIIDA 1.5/6/8 04-FMA-1260",1,"CRC 2,100.00",0.00,0.00
"(G) FIL AI NISSAN VERSA TIIDA12-15",2,"CRC 13,600.00",0.00,0.00
"(G) FIL AI SENTRA 87-MURANO PATHFINDER  NS B13 B14",2,"CRC 69,500.00",0.00,0.00
"(G) FIL AI SUZUKI CELERIO 12- 1.4 SWIFT",1,"CRC 3,100.00",0.00,0.00
"(G) FIL AI YARIS 2006-07     40",1,"CRC 1,400.00",0.00,0.00
"(G) FIL AI YARIS HECHO 00-05    60",1,"CRC 16,500.00",0.00,0.00
"(G) FIL AIRE SPORTAGE  TUCSON  DIESEL Y GASOLINA 04-09 MOTOR 2,0 fma-3137",1,"CRC 42,790.00",0.00,0.00
"(G) FIL TRANS AUT COROLLA ALTIS 08-10 YARIS 01-11 VIOS 07-14 19H",1,"CRC 34,100.00",0.00,0.00
"(G) FIL TRANS AUT TY COROLLA 13-1.6 15 1.8 ALTIS 13- 1.6 1.8",2,"CRC 94,200.00",0.00,0.00
0.50 BEARING BANCADA YD22/YD25 0.50,1,"CRC 13,300.00",0.00,0.00
01-05 INYECTOR LANCER ECLIPSE GALANT CHRYSL,1,"CRC 42,470.00",0.00,0.00
01-09 TOYOTA PRIUS ECHO SCION XA XB 1.5L,1,"CRC 62,000.00",0.00,0.00
0221500802 BOBINA D,1,"CRC 36,524.00",0.00,0.00
"07,09,14 HYUNDAI I30 I20 1.4 06 KIA CEE 1.4",1,"CRC 30,600.00",0.00,0.00
1.13/32 X 2.9/32 X 15/32 8660K KOSS RET,1,"CRC 51,400.00",0.00,0.00
1.7/8 X 2.7/8 X 3/8 X 15/32 9912 KOSS RET,1,"CRC 51,400.00",0.00,0.00
10-15 SORENTO SANTA FE 4X2TRASERO,1,"CRC 64,000.00",0.00,0.00
"138200-0260 36450-PT3-A01 ACCORD 90- 93 PRELUDE 92-96 2,2L 2,3L",1,"CRC 61,100.00",0.00,0.00
14138A/14276 KOYO BD KIA K2700 00-05,1,"CRC 35,000.00",0.00,0.00
16100-97404 BOMBA AGUA K3 TERIOS D-52 3TORN,1,"CRC 25,760.00",0.00,0.00
