Product_ID,Available_Stock,Cost_Fallback
4198696000000139123,29,"CRC 1,063.04"
4198696000000139159,29,"CRC 4,188.80"
4198696000000139195,9,"CRC 24,872.32"
4198696000000139231,10,"CRC 16,325.76"
4198696000000139267,10,"CRC 21,479.04"
4198696000000139303,10,"CRC 14,136.32"
4198696000000139339,19,"CRC 3,224.32"
4198696000000139375,222,CRC 490.00
4198696000000139411,30,"CRC 3,738.24"
4198696000000139447,28,"CRC 19,000.00"
4198696000000139483,25,"CRC 6,321.92"
4198696000000139519,30,"CRC 3,569.28"
4198696000000139555,30,"CRC 6,314.88"
4198696000000139591,50,"CRC 1,260.16"
4198696000000139627,50,"CRC 6,807.68"
4198696000000139663,200,CRC 295.68
4198696000000139699,983,CRC 35.20
4198696000000139735,96,CRC 35.20
4198696000000139771,194,CRC 197.12
4198696000000139807,81,CRC 21.12
4198696000000139843,96,CRC 373.12
4198696000000139879,95,CRC 373.12
4198696000000139915,7,"CRC 4,343.68"
4198696000000139951,102,"CRC 6,600.00"
4198696000000139987,10,"CRC 4,519.68"
4198696000000140023,7,"CRC 4,421.12"
4198696000000140059,10,"CRC 4,491.52"
4198696000000140095,10,"CRC 5,209.60"
4198696000000140131,9,"CRC 5,104.00"
4198696000000140167,10,"CRC 6,293.76"
4198696000000140203,6,"CRC 5,280.00"
4198696000000140239,5,"CRC 4,723.84"
4198696000000140275,10,"CRC 4,963.20"
4198696000000140311,48,"CRC 1,703.68"
4198696000000140347,10,"CRC 7,751.04"
4198696000000140383,10,"CRC 8,405.76"
4198696000000140419,9,"CRC 5,216.64"
4198696000000140455,10,"CRC 4,512.64"
4198696000000140491,9,"CRC 5,850.24"
4198696000000140527,93,CRC 936.32
4198696000000140563,50,"CRC 6,990.72"
4198696000000140599,92,CRC 387.20
4198696000000140635,10,"CRC 2,865.28"
4198696000000140671,10,"CRC 4,181.76"
4198696000000140707,10,"CRC 4,357.76"
4198696000000140743,10,"CRC 3,660.80"
4198696000000140779,1,"CRC 23,795.20"
4198696000000140815,1,"CRC 25,428.48"
4198696000000140851,19,CRC 176.00
4198696000000140887,496,"CRC 1,330.56"
4198696000000140923,50,"CRC 2,654.08"
4198696000000140959,46,"CRC 3,034.24"
4198696000000140995,44,"CRC 2,907.52"
4198696000000141031,45,"CRC 3,132.80"
4198696000000141067,39,CRC 682.88
4198696000000141103,36,"CRC 1,555.84"
4198696000000141139,35,"CRC 1,267.20"
4198696000000141175,38,CRC 774.40
4198696000000141211,40,CRC 887.04
4198696000000141247,43,"CRC 1,450.24"
4198696000000141283,36,"CRC 1,774.08"
4198696000000141319,40,CRC 894.08
4198696000000141355,32,"CRC 1,189.76"
4198696000000141391,40,CRC 985.60
4198696000000141427,39,CRC 964.48
4198696000000141463,40,CRC 901.12
4198696000000141499,40,CRC 922.24
4198696000000141535,40,"CRC 1,048.96"
4198696000000141571,40,CRC 809.60
4198696000000141607,40,CRC 865.92
4198696000000141643,33,CRC 936.32
4198696000000141679,50,CRC 971.52
4198696000000141715,100,"CRC 7,000.00"
4198696000000141751,98,CRC 112.64
4198696000000141787,6,"CRC 37,924.48"
4198696000000141823,94,CRC 98.56
4198696000000141859,100,"CRC 1,232.00"
4198696000000141895,5,"CRC 15,649.92"
4198696000000141931,3,"CRC 13,059.20"
4198696000000141967,9,"CRC 7,138.56"
4198696000000142003,10,"CRC 13,059.20"
4198696000000142039,10,"CRC 8,342.40"
4198696000000142075,92,"CRC 1,200.00"
4198696000000142111,9,CRC 922.24
4198696000000142147,7,"CRC 1,126.40"
4198696000000142183,9,CRC 837.76
4198696000000142219,448,CRC 70.40
4198696000000142255,481,CRC 7.04
4198696000000142291,499,CRC 7.04
4198696000000142327,598,CRC 211.20
