SKU,b.Product_ID,s.Sales_24M_Qty,s.Sales_24M_Net,a.Avg_Demand_6M,o.Outstanding_Qty,lp.Last_Purchase_Date,lp.Last_Purchase_Price
516-009,4198696000026474072,,,0.16666666666666666,,,2330
800-3930,4198696000028021366,,,0.16666666666666666,,,3407.08
800-3189,4198696000022588188,,,0.3333333333333333,,,20150
800-3279,4198696000023132685,,,0.16666666666666666,,,21700
800-4466,4198696000032479387,,,0.16666666666666666,,,21197.81
800-4507,4198696000033252467,,,0.16666666666666666,,,13284.63
72-1078,4198696000000679564,,,0.6666666666666666,,,3953.1800000000003
526-0020,4198696000001674931,,,0.3333333333333333,,,17109.55
3-47,4198696000000669912,,,0.6666666666666666,,,1013.7800000000001
83-2039,4198696000007812290,,,0.5,,,4713.5
800-1823,4198696000010435340,,,0.16666666666666666,,,4900
44-1019,4198696000012141106,,,0.3333333333333333,,,895
800-3128,4198696000022148550,,,0.16666666666666666,,,5500
800-3351,4198696000023573120,,,0.16666666666666666,,,12468.12
800-4300,4198696000031051931,,,0.16666666666666666,,,4330
509-0550,4198696000000862966,,,0.8333333333333334,,,7908.860000000001
90-1003,4198696000007812371,,,0.5,,,5417.5
521-0010,4198696000001613708,,,0.6666666666666666,,,11066.7
512-1004,4198696000008656236,,,0.5,,,16991
73-10,4198696000010848119,,,0.5,,,1270.5
164-104,4198696000012152037,,,0.3333333333333333,,,1342.04
517-1142,4198696000019667217,,,1,,,12847.2
800-3950,4198696000028104310,,,1.3333333333333333,,,2775
800-4118,4198696000029319160,,,0.16666666666666666,,,20000
800-4222,4198696000030181778,,,0.16666666666666666,,,35000
524-0601,4198696000001900324,,,0.5,,,4690
522-0061,4198696000001614149,,,0.16666666666666666,,,24917.54
505-001,4198696000000844228,,,5.333333333333333,,,920
509-0532,4198696000000862804,,,0.16666666666666666,,,7433.64
509-0168,4198696000000862219,,,0.3333333333333333,,,11655
214-1010,4198696000004421349,,,0.5,,,2970
529-100,4198696000003972555,,,0.5,,,20000
