s.Product_ID,s.Month_Year,s.Total_Quantity,s.Net_Sales,itf.Available_Stock,itf.Cost_Fallback,lp.Last_Purchase_Price,Stock_On_Hand
4198696000004417763,2024-06,1,15663.72,115,"CRC 10,000.00",6435,115
4198696000011147510,2025-03,2,61238.94,5,"CRC 22,630.00",22630,5
4198696000000862930,2025-03,1,20191.15,4,"CRC 16,241.99",16241.99,4
4198696000016776224,2025-03,2,58053.1,2,"CRC 21,500.00",21500,2
4198696000000142219,2025-03,2,530.97,448,CRC 70.40,55,448
4198696000000602419,2025-05,2,5309.73,332,"CRC 2,373.00",2562.15,332
4198696000000142219,2025-07,10,2654.87,448,CRC 70.40,55,448
4198696000002572923,2025-07,1,81061.95,5,"CRC 60,000.00",60000,5
4198696000011594463,2025-09,1,20973.45,1,"CRC 15,493.40",15493.4,1
4198696000015465048,2025-10,1,50477.9,26,"CRC 31,400.00",20075,26
4198696000003952946,2025-06,1,3982.3,10,"CRC 2,926.00",2926,10
4198696000000602419,2023-11,4,11681.42,332,"CRC 2,373.00",2562.15,332
4198696000000143497,2023-11,1,9380.53,39,"CRC 6,000.00",4097.5,39
4198696000001610306,2024-11,2,11858.41,6,"CRC 4,354.70",4354.7,6
4198696000011940096,2024-11,2,8849.56,2,"CRC 2,995.00",2995,2
4198696000000142273,2024-11,10,884.96,477,CRC 7.04,5.5,477
4198696000000143515,2024-12,1,12389.38,13,"CRC 6,000.00",3927,13
4198696000003594538,2024-12,1,2300.88,27,"CRC 1,413.00",1500,27
4198696000000602419,2024-12,3,8230.09,332,"CRC 2,373.00",2562.15,332
4198696000016196715,2025-01,8,64424.78,0,"CRC 5,900.00",5900,0
4198696000006780171,2025-01,1,6017.7,3,"CRC 4,400.00",4400,3
4198696000001900324,2025-02,1,6371.68,7,"CRC 4,690.00",4690,7
4198696000000602419,2024-07,1,2920.35,332,"CRC 2,373.00",2562.15,332
4198696000000864955,2024-07,2,16646.02,4,"CRC 5,920.00",6447.5599999999995,4
4198696000006545314,2024-07,1,3362.83,5,"CRC 2,456.40",2456.4,5
4198696000009530254,2024-09,10,4424.78,12,CRC 315.00,315,12
4198696000001613708,2025-03,1,14955.75,7,"CRC 11,066.70",11066.7,7
4198696000001613690,2025-03,1,47791.15,2,"CRC 38,462.47",38462.47,2
4198696000004421700,2025-03,2,22300.88,98,"CRC 6,154.20",4339.5,98
4198696000015527562,2025-04,1,12300.88,1,"CRC 9,080.40",9080.4,1
4198696000022307190,2025-04,1,30973.45,0,"CRC 20,000.00",20000,0
4198696000015464940,2025-06,1,52212.39,7,"CRC 30,000.00",19222.5,7
4198696000025902593,2025-07,2,24778.76,0,"CRC 7,209.03",7209.03,0
4198696000000836985,2025-08,1,2212.39,38,"CRC 1,800.00",2300,38
4198696000000602491,2025-09,1,5699.12,42,"CRC 5,095.63",5095.63,42
4198696000030865007,2025-09,1,122035.4,0,"CRC 90,345.76",90345.76,0
4198696000006389546,2025-10,1,14778.76,0,"CRC 9,600.00",9600,0
