d.Item_ID,d.SKU,d.Sales_24M_Qty,d.Sales_24M_Net,d.Avg_Demand_Used,Last_Purchase_Date,lp.Last_Purchase_Price,Last_Purchase_Price_Fallback,On_Hand_Qty,st.Current_Unit_Rate,Coverage_Months,Stock_Shortfall,Reorder_Eligibility,Cost_Delta,Cost_Delta_Pct
4198696000031080659,800-4304,2,35398.23,0.08333333333333333,,,10990,0,10990,0,0.25,1,,
4198696000026976115,800-3791,2,10000,0.08333333333333333,,,3150,0,3150,0,0.25,1,,
4198696000016062652,517-1097,1,28000,0.041666666666666664,,,16806,1,16806,24,0,0,,
4198696000014370621,522-0205,1,29000,0.041666666666666664,,,18204.37,2,18204.37,48,0,0,,
4198696000011767261,800-2049,1,101700,0.041666666666666664,,,66633.29,0,66633.29,0,0.125,1,,
4198696000006494486,517-3001,4,85119.47,0.16666666666666666,,,13995,1,13995,6,0,0,,
4198696000003944300,800-439,1,6700,0.041666666666666664,,,4380.53,0,4380.53,0,0.125,1,,
4198696000002318001,800-133,1,8400,0.041666666666666664,,,5500,0,5500,0,0.125,1,,
4198696000001108207,800-005,4,75600,0.16666666666666666,,,14000,0,14000,0,0.5,1,,
4198696000000862993,509-0553,3,73200,0.125,,,15966.41,1,15966.41,8,0,0,,
4198696000000143965,261-1,3,3600,0.125,,,380.16,196,380.16,1568,0,0,,
4198696000000670047,3-62,13,29980.09,0.5416666666666666,,,1598.07,5,1598.07,9.230769230769232,0,0,,
4198696000023124349,800-3265,1,30000,0.041666666666666664,,,14878.35,0,14878.35,0,0.125,1,,
4198696000018863075,800-2693,1,36432,0.041666666666666664,,,25900,0,25900,0,0.125,1,,
4198696000009101649,800-1629,3,131768,0.125,,,28271.37,0,28271.37,0,0.375,1,,
4198696000007811948,73-1017,1,5600,0.041666666666666664,,,2500,199,2500,4776,0,0,,
4198696000001611647,520-0096,2,45696,0.08333333333333333,,,15555.77,4,15555.77,48,0,0,,
4198696000001040788,393-124,1,27000,0.041666666666666664,,,9820.8,3,9820.8,72,0,0,,
4198696000030248803,800-4248,1,24336.28,0.041666666666666664,,,16303,0,16303,0,0.125,1,,
4198696000009988387,800-1766,2,47400,0.08333333333333333,,,15500,0,15500,0,0.25,1,,
4198696000004325022,800-515,2,45600,0.08333333333333333,,,18662.62,0,18662.62,0,0.25,1,,
4198696000002318019,800-135,1,3600,0.041666666666666664,,,2900,0,2900,0,0.125,1,,
4198696000001610972,520-0039,3,54200,0.125,,,11936.78,4,11936.78,32,0,0,,
4198696000028982500,800-4068,1,42136,0.041666666666666664,,,20000,0,20000,0,0.125,1,,
4198696000013663389,800-2169,1,58000,0.041666666666666664,,,37990,0,37990,0,0.125,1,,
4198696000009417158,800-1671,4,4000,0.16666666666666666,,,595,0,595,0,0.5,1,,
4198696000006780328,524-0612,2,11592,0.08333333333333333,,,4100,5,4100,60,0,0,,
4198696000030232083,800-4238,8,29734.51,0.3333333333333333,,,1080,0,1080,0,1,1,,
4198696000008973001,800-1608,1,6200,0.041666666666666664,,,4000,0,4000,0,0.125,1,,
4198696000032909323,800-4474,2,42124,0.08333333333333333,,,12995,0,12995,0,0.25,1,,
4198696000019667217,517-1142,5,84640,0.20833333333333334,,,10868,1,10868,4.8,0,0,,
4198696000015289363,509-1552,8,147037.18,0.3333333333333333,,,11884.72,4,11884.72,12,0,0,,
4198696000012108006,534-0042,24,81792,1,,,2306,12,2306,12,0,0,,
4198696000010805120,238-2001,15,406477.35,0.625,,,14000,36,14000,57.6,0,0,,
4198696000010346257,376-3017,6,33003.7,0.25,,,3564.4,4,3564.4,16,0,0,,
4198696000007762182,533-019,4,91600,0.16666666666666666,,,14950,10,14950,60,0,0,,
4198696000005387800,72-3033,4,28800,0.16666666666666666,,,4695,2,4695,12,0,0,,
4198696000004655260,534-0021,2,6800,0.08333333333333333,,,2783.65,2,2783.65,24,0,0,,
4198696000003270225,800-295,1,35000,0.041666666666666664,,,22900,0,22900,0,0.125,1,,
4198696000001614815,522-0145,5,143000,0.20833333333333334,,,20880.34,0,20880.34,0,0.625,1,,
4198696000001611674,520-0049,2,39200,0.08333333333333333,,,12820.2,4,12820.2,48,0,0,,
4198696000000140302,90-191,2,24300,0.08333333333333333,,,5082.88,6,5082.88,72,0,0,,
4198696000000137503,13-106,1,7500,0.041666666666666664,,,2865.28,49,2865.28,1176,0,0,,
4198696000000139969,90-21,4,50971.86,0.16666666666666666,,,5681.28,6,5681.28,36,0,0,,
4198696000024036140,800-3411,1,6200,0.041666666666666664,,,3623.63,0,3623.63,0,0.125,1,,
4198696000014221853,800-2216,2,14625,0.08333333333333333,,,4900,0,4900,0,0.25,1,,
4198696000001408136,524-0573,2,5376,0.08333333333333333,,,1800,4,1800,48,0,0,,
4198696000000141634,118-196,1,3500,0.041666666666666664,,,1344.64,39,1344.64,936,0,0,,
4198696000001089280,127-1024,4,2800,0.16666666666666666,,,475.31,44,475.31,264,0,0,,
4198696000024699184,800-3504,1,78000,0.041666666666666664,,,50408,0,50408,0,0.125,1,,
4198696000015965081,510-1046,2,163968,0.08333333333333333,,,55947.88,4,55947.88,48,0,0,,
4198696000012152958,164-123,4,9203.52,0.16666666666666666,,,1278.13,0,1278.13,0,0.5,1,,
4198696000001615004,522-0109,2,44800,0.08333333333333333,,,14679.22,0,14679.22,0,0.25,1,,
4198696000008352613,800-1495,2,3000,0.08333333333333333,,,535,0,535,0,0.25,1,,
4198696000004126037,800-489,1,252800,0.041666666666666664,,,174396,0,174396,0,0.125,1,,
4198696000015821507,72-3256,1,12900,0.041666666666666664,,,4400,3,4400,72,0,0,,
4198696000000138178,15-291,1,11300,0.041666666666666664,,,4970.24,49,4970.24,1176,0,0,,
4198696000025591885,800-3598,2,26100,0.08333333333333333,,,8550,0,8550,0,0.25,1,,
4198696000023999065,800-3408,2,46184,0.08333333333333333,,,16420,0,16420,0,0.25,1,,
4198696000016322081,44-1146,6,10992,0.25,,,1150,4,1150,16,0,0,,
4198696000015465003,67-1017,5,478929.38,0.20833333333333334,,,47800,24,47800,115.19999999999999,0,0,,
4198696000012190569,376-3159,2,20240,0.08333333333333333,,,7200,5,7200,60,0,0,,
4198696000009409576,800-1664,2,17800,0.08333333333333333,,,5800,0,5800,0,0.25,1,,
4198696000007971019,800-1405,2,29600,0.08333333333333333,,,9672.97,0,9672.97,0,0.25,1,,
4198696000006545314,106-2003,6,21485.81,0.25,,,2456.4,5,2456.4,20,0,0,,
4198696000006015001,800-969,2,11970,0.08333333333333333,,,4122.5,0,4122.5,0,0.25,1,,
4198696000005321013,505-022,6,24386.28,0.25,,,2580,6,2580,24,0,0,,
