SKU,Product_ID,Invoice_Date,Line_Quantity,Line_Total_BCY
,4198696000002745270,25 Jan 2024,4.50,2787.61
,4198696000002757026,25 Jan 2024,1.00,884.96
,4198696000002789026,26 Jan 2024,2.00,40884.96
,4198696000002789310,26 Jan 2024,2.00,11681.42
,4198696000002789699,27 Jan 2024,2.00,13274.34
,4198696000002799111,26 Jan 2024,1.00,14867.26
,4198696000002799113,26 Jan 2024,1.00,2212.39
,4198696000002815017,26 Jan 2024,1.00,18584.07
,4198696000002815095,26 Jan 2024,1.00,14601.77
,4198696000002832004,29 Jan 2024,4.00,7433.63
,4198696000002841303,30 Jan 2024,1.00,1415.93
,4198696000002855237,29 Jan 2024,2.00,27610.62
,4198696000002855239,29 Jan 2024,2.00,9734.51
,4198696000002855241,29 Jan 2024,1.00,20176.99
,4198696000002855243,29 Jan 2024,1.00,20176.99
,4198696000002855625,01 Feb 2024,3.00,18849.56
,4198696000002855627,01 Feb 2024,1.00,796.46
,4198696000002855671,01 Feb 2024,1.00,6283.19
,4198696000002855673,01 Feb 2024,12.00,9557.52
,4198696000002855717,01 Feb 2024,1.00,19557.52
,4198696000002860061,30 Jan 2024,1.00,12743.36
,4198696000002860260,30 Jan 2024,1.00,9557.52
,4198696000002860317,30 Jan 2024,2.00,20530.97
,4198696000002894156,01 Feb 2024,1.00,71681.42
,4198696000002925174,02 Feb 2024,1.00,26548.67
,4198696000002925297,02 Feb 2024,1.00,15309.73
,4198696000002951371,05 Feb 2024,1.00,9203.54
,4198696000002962004,03 Feb 2024,6.00,23362.83
,4198696000002962006,03 Feb 2024,6.00,17522.12
,4198696000002976375,05 Feb 2024,1.00,15309.73
,4198696000002986004,05 Feb 2024,2.00,9380.53
,4198696000002986407,05 Feb 2024,0.13,1863.72
,4198696000002986409,05 Feb 2024,0.13,1863.72
,4198696000002986747,06 Feb 2024,1.00,43185.84
,4198696000002986949,06 Feb 2024,4.00,85309.73
,4198696000002995004,05 Feb 2024,8.00,4247.79
,4198696000002995006,05 Feb 2024,8.00,2831.86
,4198696000003000711,06 Feb 2024,1.00,5575.22
,4198696000003005004,05 Feb 2024,1.00,6106.19
,4198696000003005006,05 Feb 2024,1.00,6106.19
,4198696000003013044,06 Feb 2024,2.00,27256.64
,4198696000003013620,06 Feb 2024,1.00,19380.53
,4198696000003013887,07 Feb 2024,1.00,11946.9
,4198696000003028407,08 Feb 2024,2.00,19115.04
,4198696000003028409,08 Feb 2024,1.00,8938.05
,4198696000003028411,08 Feb 2024,1.00,8495.58
,4198696000003030026,07 Feb 2024,2.00,5840.71
,4198696000003032171,07 Feb 2024,1.00,1681.42
,4198696000003032294,08 Feb 2024,0.10,2017.7
,4198696000003032296,08 Feb 2024,1.00,88.5
,4198696000003032298,08 Feb 2024,4.00,353.98
,4198696000003060137,09 Feb 2024,5.00,1548.67
,4198696000003070336,09 Feb 2024,1800.00,1592.92
,4198696000003070929,12 Feb 2024,1.00,8495.58
,4198696000003088187,10 Feb 2024,1.00,6017.7
,4198696000003095011,12 Feb 2024,4.00,8141.59
,4198696000003095052,12 Feb 2024,2.00,14159.29
,4198696000003101492,13 Feb 2024,1.00,27079.65
,4198696000003117094,13 Feb 2024,1.00,8230.09
,4198696000003129519,14 Feb 2024,1.00,4601.77
,4198696000003145004,14 Feb 2024,1.00,41061.95
,4198696000003145006,14 Feb 2024,1.00,41061.95
,4198696000003159012,15 Feb 2024,1.00,22743.36
,4198696000003159014,15 Feb 2024,2.00,619.47
,4198696000003162004,15 Feb 2024,2.00,18761.06
,4198696000003162006,15 Feb 2024,10.00,3097.35
,4198696000003162048,15 Feb 2024,1.00,3274.34
,4198696000003162050,15 Feb 2024,1.00,13185.84
,4198696000003162052,15 Feb 2024,1.00,1327.43
,4198696000003173288,15 Feb 2024,2.00,5309.73
,4198696000003206170,16 Feb 2024,1.00,62920.35
,4198696000003206172,16 Feb 2024,4.10,2539.82
,4198696000003251194,16 Feb 2024,1.00,12566.37
,4198696000003251196,16 Feb 2024,1.00,11858.41
,4198696000003251198,16 Feb 2024,1.00,11150.44
,4198696000003251200,16 Feb 2024,1.00,21858.41
,4198696000003251202,16 Feb 2024,1.00,5044.25
,4198696000003251204,16 Feb 2024,1.00,3185.84
,4198696000003276087,19 Feb 2024,1.00,2300.88
,4198696000003276089,19 Feb 2024,1.00,2212.39
,4198696000003284275,19 Feb 2024,1.00,34601.77
,4198696000003289048,19 Feb 2024,1.00,4336.28
,4198696000003289169,19 Feb 2024,1.00,7433.63
,4198696000003301410,20 Feb 2024,2.00,21061.95
,4198696000003301412,20 Feb 2024,10.00,3097.35
,4198696000003301456,20 Feb 2024,1.00,15132.74
,4198696000003311167,20 Feb 2024,3.00,63982.3
,4198696000003311280,20 Feb 2024,1.00,2212.39
,4198696000003311282,20 Feb 2024,1.00,3274.34
,4198696000003311284,20 Feb 2024,1.00,10884.96
,4198696000003311515,20 Feb 2024,1.00,2743.36
,4198696000003315574,20 Feb 2024,16.00,5663.72
,4198696000003315576,20 Feb 2024,16.00,5663.72
,4198696000003315578,20 Feb 2024,2.00,1769.91
,4198696000003338283,21 Feb 2024,8.57,2655.04
,4198696000003339181,21 Feb 2024,1.00,22123.89
,4198696000003373004,22 Feb 2024,2.00,15398.23
,4198696000003373006,22 Feb 2024,10.00,3097.35
,4198696000003373108,22 Feb 2024,1.00,13805.31
,4198696000003376248,22 Feb 2024,1.00,2743.36
,4198696000003396735,23 Feb 2024,2.00,36814.16
,4198696000003397078,23 Feb 2024,2.00,46017.7
,4198696000003397119,23 Feb 2024,1.00,2831.86
,4198696000003397682,23 Feb 2024,1.00,6194.69
,4198696000003397925,24 Feb 2024,1.00,15575.22
,4198696000003397927,24 Feb 2024,1.00,8849.56
,4198696000003397929,24 Feb 2024,1.00,2831.86
,4198696000003397931,24 Feb 2024,1.00,2123.89
,4198696000003420017,23 Feb 2024,1.00,12566.37
,4198696000003420019,23 Feb 2024,4.00,14513.27
,4198696000003420952,24 Feb 2024,1.00,1415.93
,4198696000003420954,24 Feb 2024,1.00,7079.65
,4198696000003426020,24 Feb 2024,1.00,51327.43
,4198696000003446298,26 Feb 2024,1.00,4247.79
,4198696000003446300,26 Feb 2024,2.00,6371.68
,4198696000003446302,26 Feb 2024,1.00,2566.37
,4198696000003446304,26 Feb 2024,1.00,2654.87
,4198696000003446306,26 Feb 2024,1.00,1681.42
,4198696000003446308,26 Feb 2024,1.00,21681.42
,4198696000003446310,26 Feb 2024,1.00,2212.39
,4198696000003446312,26 Feb 2024,1.00,3097.35
,4198696000003446314,26 Feb 2024,1.00,10000
,4198696000003446316,26 Feb 2024,1.00,3716.81
,4198696000003446400,26 Feb 2024,1.00,16902.65
,4198696000003446402,26 Feb 2024,1.00,16902.65
,4198696000003446919,27 Feb 2024,1.00,6725.66
,4198696000003454951,27 Feb 2024,1.00,6902.65
,4198696000003454953,27 Feb 2024,1.00,6902.65
,4198696000003500057,27 Feb 2024,2.00,27787.61
,4198696000003500059,27 Feb 2024,1.00,8141.59
,4198696000003500061,27 Feb 2024,1.00,5486.73
,4198696000003508733,28 Feb 2024,1.00,11415.93
,4198696000003508735,28 Feb 2024,1.00,4070.8
,4198696000003515212,28 Feb 2024,1.00,1061.95
,4198696000003515214,28 Feb 2024,5.00,14601.77
,4198696000003556232,29 Feb 2024,4.00,11681.42
,4198696000003556273,29 Feb 2024,1.00,2831.86
,4198696000003579205,01 Mar 2024,1.00,4955.75
,4198696000003579207,01 Mar 2024,1.00,5132.74
,4198696000003595099,01 Mar 2024,1.00,15221.24
,4198696000003595101,01 Mar 2024,1.00,7964.6
,4198696000003595103,01 Mar 2024,1.00,8584.07
,4198696000003595359,01 Mar 2024,1.00,17787.61
,4198696000003595361,01 Mar 2024,1.00,6637.17
,4198696000003595363,01 Mar 2024,1.00,3008.85
,4198696000003595365,01 Mar 2024,1.00,6902.65
,4198696000003658232,04 Mar 2024,1.00,99646.02
,4198696000003701044,05 Mar 2024,1.00,18584.07
,4198696000003701046,05 Mar 2024,1.00,18584.07
